Dive #,Date (yyyy-mm-dd),Site,Location,Dive Type,Max depth (m),Average depth (m),Bottom Time,Total Time,Gas Mixture,Bottom temp (°C),Surface temp (°C),Vis (m),Current,Wetsuit thickness (mm),Weights (kgs),Tank Type,Buddies,Key Species,
110,2026-2-4,Witch's Hat,"Závora, Mozambique",Thesis Quadrat,13.8,,38,48,Air,26,27,8,Surge,no wetsuit!,0,Steel,Em,1x Blotched fantail ray (F),
111,2026-2-5,Yogi's,"Závora, Mozambique",Reciever retrieval,29.5,,17,33,Air,26,27,30,Light,no wetsuit!,0,Steel,"Em, Ed, Giorgi",1x Potato bass,
112,2026-2-5,Sponge city,"Závora, Mozambique",Fun dive,20.7,,31,44,Air,26,28,12,Light,no wetsuit!,0,Steel,"Em, Ed, Giorgi","1x Bluespotted ribbontail ray (U), 1x Himantura sp (M)",
113,2026-2-20,Sponge city,"Závora, Mozambique",Thesis Quadrat,22.8, ,42,48,Air,28,28,7,Surge,5,1.5,Steel,Nakia ,,
114,2026-2-20,Area 51,"Závora, Mozambique",Thesis Quadrat,15.2,,45,48,Air,28,28,7,Surge,5,1.5,Steel,Nakia,1x Harlequin shrimp,
115,2026-2-20,Witch's Hat,"Závora, Mozambique",Thesis Quadrat,13.5,,41,44,Air,28,28,5,Surge,5,1.5,Steel,Nakia,"1x Octopus, 1x Hypselodoris pulchella",
116,2026-2-21,Sponge city,"Závora, Mozambique",Thesis Belt transect,22.9,,39,43,Air,28,28,7,Surge,5,1.5,Steel,"Nakia, Ed",1x Ocotpus,
117,2026-2-21,Area 51,"Závora, Mozambique",Thesis Belt transect,15.1,,51,55,Air,27,28,8,Surge,5,1.5,Steel,"Nakia, Ed",2x mating Nembrotha aurea,
118,2026-2-21,Witch's Hat,"Závora, Mozambique",Thesis Belt transect/Last thesis dive!,14.2,,44,50,Air,28,28,10,Surge,5,1.5,Steel,"Nakia, Ed","1x Tenellia sp. 1 undescribed, ",
119,2026-2-23,Deans,"Závora, Mozambique",Fun dive,31.6,,17,28,Air,27,28,4,Surge,no wetsuit!,0,Steel,"Em, Joe, Nakia, Ed",,
120,2026-2-23,Witch's Hat,"Závora, Mozambique",Fun dive/Last dive in Mozambique!,15.6,,45,54,Air,28,28,10,Light,no wetsuit!,0,Steel,"Nakia, Ed","1x Decumbent Spanish Dancer (baby!!), 2x Coryphellina exoptata",
121,2026-5-24,Nautilus Reef,"Honolulu, O'ahu, Hawai'i",Divemaster training,12.8,,36,41,Air,26,27,30,None,5 (new wetsuit!),3,Aluminum,"Ed, John, Courtney",1x Day octopus,
122,2026-5-24,Kewalo Pipe (mid mooring),"Honolulu, O'ahu, Hawai'i",Divemaster training,19.4,,37,42,Air,25,26,30,None,5 (new wetsuit!),3,Aluminum,"Ed, John, Courtney","1x Moray eel, 3x Hawaiian green turtle",
123,2026-5-25,Sea Tiger shipwreck,"Honolulu, O'ahu, Hawai'i",Divemaster training,31.1,,29,33,Air,26,26,30,None,5,3,Aluminum,Josiah,"1x Blue dragon nudi, 3x Sandbar shark",
124,2026-5-25,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,19.4,,46,51,Air,25,26,20,None,5,3,Aluminum ,Josiah ,6x Hawaiian green turtle,
125,2026-5-26,"Kewalo Pipe Horsehoe Reef, Secrets Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,20.7,,31,36,Air,26,26,15,None,5,3,Aluminum,"Ed, John",1x Hawaiian green turtle,
126,2026-5-26,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,20.7,,26,31,Air,26,26,15,None,5,3,Aluminum,"Ed, John",1x Hawaiian green turtle,
127,2026-5-28,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,16.9,,22,26,Air,26,26,20,None,5,3,Aluminum,"Ed, John","4x Hawaiian green turtle, 2x trailing Imperial nudis (species unknown)",
128,2026-5-28,Sea Tiger shipwreck,"Honolulu, O'ahu, Hawai'i",Divemaster training,31.5,,20,24,Air,26,26,20,None,5,3,Aluminum,"Ed, John","1x Eagle ray, 1x Whitetip reef shark, 2x Hawaiian green turtle, 1x Moray eel",
129,2026-5-29,Sea Tiger shipwreck,"Honolulu, O'ahu, Hawai'i",Divemaster training,30.2,,23,30,Air,26,26,,None,5,3,Aluminum,"Ed, John",Hawaiian green turtles,
130,2026-5-29,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,16.5,,35,41,Air,26,26,,None,5,3,Aluminum,"Ed, John",Hawaiian green turtles,
131,2026-5-30,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Rescue cert,14.9,,18,21,Air,26,26,,None,5,3,Aluminum,"Ed, John",Hawaiian green turtles,
132,2026-5-30,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Rescue cert,15.7,,18,22,Air,26,26,,None,5,3,Aluminum,"Ed, John",Hawaiian green turtles,
133,2026-5-30,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Rescue Cert,19.8,,34,38,Air,26,26,,None,5,3,Aluminum,"Ed, John",Hawaiian green turtles,
134,2026-6-1,"Kewalo pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,15.6,,30,35,Air,26,26,5,Light,5,3,Aluminum,Josiah,Hawaiian green turtles,
135,2026-6-1,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,15.5,,22,25,Air,26,26,8,None,5,3,Aluminum,Josiah,,
136,2026-6-2,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,,,22,30,Air,25,25,2,Medium,5,3,Aluminum,Josiah,,
137,2026-6-6,"Kewalo pipe, Horseshoe Reef, Secrets Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,19.2,,41,47,Air,25,25,20,None,5,3,Aluminum,Josiah,"2x Stonefish, 8x Hawaiian green turtle",
138,2026-6-6,Sea Tiger shipwreck,"Honolulu, O'ahu, Hawai'i",Divemaster training,31.7,,22,28,Nitrox,25,25,30,None,5,3,Aluminum,Josiah,"1x Whitetip reef shark, 1x Sandbar shark, 1x Blue dragon nudi",
139,2026-6-7,Nautilus Reef,"Honolulu, O'ahu, Hawai'i",Divemaster training,12.4,,32,38,Air,26,26,20,None,5,3,Aluminum,Callum,,
140,2026-6-7,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,17.9,,28,33,Air,26,26,20,None,5,3,Aluminum,Callum,,
141,2026-6-9,Sea Tiger shipwreck,"Honolulu, O'ahu, Hawai'i",Fun dive,34.3,,27,36,Nitrox,26,26,30,Light,5,3,Aluminum,Caleb,"3x Coryphellina exoptata, 2x Whitetip reef shark, 2x Hawaiian green turtle, 1x Blue dragon nudi",
142,2026-6-9,"Kewalo Pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Fun dive,14.5,,42,47,Nitrox,26,26,20,None,5,3,Aluminum,Caleb,3x Hawaiian green turtles,
143,2026-6-9,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,19.3,,39,43,Air,26,26,10,None,5,3,Aluminum,"Ed, Evan",1x Hawaiian green turtles,
144,2026-6-12,"Kewalo Pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,20.4,,40,44,Air,26,26,30,Light,5,3,Aluminum,Callum,4x Hawaiian green turtles,
145,2026-6-12,"Kewalo Pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,17.3,,37,42,Air,26,26,20,Light,5,3,Aluminum,Callum,"3x Eagle ray, 2x Hawaiian green turtle, 1x Moray eel",
146,2026-6-18,"Kewalo Pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,15.4,,33,37,Air,26,26,4,Surge,5,3,Aluminum,Callum,,
